d1,d2,d3,d5,d11,d12,d13,d18,E,Smax(Mpa)
33.47613636,73.8619697,86.18659091,2.136287879,13.64583333,105.4161364,5.740454545,5.999098373,67200.46264,63.212575
33.28522727,74.08166667,69.20704545,2.807954545,14.4625,88.14204545,8.192272727,4.901751697,53119.69503,59.9620047
31.59356061,73.68621212,79.62022727,4.145378788,13.2625,101.4788636,7.993181818,2.745160824,63773.0236,117.0580687
33.43901515,70.99712121,81.94522727,3.995681818,14.0875,101.7006818,5.775909091,5.187605598,56158.45542,49.02391976
27.74886364,71.38378788,82.88931818,2.282045455,12.1875,95.29568182,5.085909091,3.222340121,57024.14879,96.44616361
28.76174242,77.91318182,77.23886364,3.290530303,17.29583333,107.6065909,8.064090909,5.442580959,55557.77023,84.22935494
30.10340909,80.54075758,69.34795455,1.874318182,16.82916667,89.61159091,5.664090909,3.630012342,70769.23937,129.2127725
27.27689394,76.1819697,80.05704545,1.702954545,9.7125,101.3956818,6.463181818,2.466151583,53084.36061,156.7079652
27.84962121,70.30287879,83.18522727,2.256439394,8.845833333,109.9634091,5.274090909,3.938187552,61705.95985,88.07791925
32.28825758,70.03924242,78.35204545,2.880833333,15.52083333,89.05704545,5.808636364,4.811422683,53172.69667,50.34362751
30.58068182,79.77621212,79.8175,2.575530303,11.5375,109.3256818,7.750454545,3.877591743,64515.04648,93.87342975
27.34583333,74.28378788,69.78477273,4.257651515,12.22083333,87.92022727,5.287727273,2.227854805,72765.63427,144.8255776
28.82007576,79.41590909,85.76386364,4.056742424,12.37916667,112.9579545,7.734090909,3.132664593,54639.07523,139.3980424
32.44204545,74.41560606,82.01568182,3.359469697,12.54583333,81.26568182,5.140454545,4.632971676,58631.86504,52.80216897
27.47310606,79.09075758,73.03977273,2.258409091,9.5625,95.01840909,7.581363636,2.454690082,57536.49792,181.326044
32.87689394,79.35439394,82.07204545,2.654318182,11.32083333,93.16068182,5.816818182,3.973571499,76193.07331,63.92831464
29.33977273,70.31166667,81.38159091,2.022045455,11.12083333,106.3034091,8.006818182,1.797603381,75345.04716,197.5895828
27.48901515,74.23984848,71.36295455,1.819166667,8.654166667,88.64113636,7.254090909,1.977299606,75822.06187,200.8460453
33.40719697,79.88166667,84.66477273,2.742954545,15.62916667,94.65795455,5.328636364,4.576038784,62218.30898,50.75746546
30.57537879,77.84287879,73.18068182,1.799469697,8.854166667,103.9743182,8.175909091,4.896299237,58737.86831,121.014074
32.1875,72.37681818,85.98931818,4.180833333,10.8375,109.2702273,7.117727273,5.108229721,71899.94091,74.37345358
32.58522727,79.89045455,81.26886364,2.008257576,9.3375,102.7820455,5.009545455,4.054039924,73154.31293,103.2406764
27.11780303,69.59984848,85.67931818,3.209772727,14.89583333,109.3811364,5.920454545,5.016491665,69126.18869,62.17145122
33.31174242,70.61045455,78.14068182,4.040984848,12.5875,89.7225,5.628636364,2.493502848,72518.29331,95.47366077
31.63598485,75.51409091,71.71522727,2.733106061,16.5625,80.82204545,4.905909091,2.776128078,54533.07196,97.83708194
29.6155303,78.52833333,78.59159091,2.717348485,12.17083333,113.6788636,5.015,2.781231132,59161.88138,126.66782
28.40113636,72.52621212,69.82704545,2.94780303,17.49583333,96.57113636,6.084090909,4.932445732,75769.06024,74.08348086
29.40340909,79.05560606,79.93022727,4.001590909,8.304166667,90.52659091,6.015909091,4.423712715,55116.08994,84.97044947
28.75113636,70.94439394,75.35068182,2.368712121,18.49583333,103.3365909,7.172272727,6.168260393,67589.14129,62.41183608
33.34886364,71.62984848,80.88840909,2.912348485,12.67916667,98.2625,7.109545455,5.524552365,62041.63686,47.06680966
32.08143939,76.64772727,78.97204545,2.920227273,14.8125,86.70022727,5.710454545,4.418478345,55699.10792,63.81026151
26.8155303,70.00409091,69.98204545,3.647045455,13.4375,91.88522727,7.731363636,1.962200017,66317.10206,242.6833808
30.83522727,74.26621212,82.22704545,2.703560606,15.9875,91.05340909,5.879545455,2.470335757,63084.00235,95.9930562
33.48143939,69.43287879,76.29477273,2.3175,10.6375,87.36568182,7.215909091,5.180866538,68242.82812,58.74359847
28.78295455,73.03590909,78.45068182,3.587954545,8.995833333,85.72977273,7.619545455,5.499613894,71299.25571,70.21593096
26.68295455,78.05378788,83.98840909,2.075227273,17.20416667,108.4106818,5.904090909,4.096580323,57448.16186,102.6084437
28.86780303,77.6319697,78.36613636,3.842045455,11.05416667,112.4034091,5.173181818,2.119523388,59568.22725,160.5067932
32.4844697,72.27136364,69.46068182,4.172954545,17.55416667,79.29704545,5.405,2.203591922,66122.76273,108.4149679
31.09507576,72.72833333,71.57431818,3.264924242,16.65416667,90.27704545,6.100454545,2.065612808,69709.20668,124.3656446
28.1094697,76.77075758,70.01022727,1.884166667,9.920833333,83.0125,5.459545455,5.246607155,74338.0161,70.71911354
32.85037879,80.59348485,80.18386364,2.859166667,16.0625,82.84613636,6.755,5.393800985,61069.94023,54.84391894
32.91401515,73.43136364,82.83295455,3.1625,8.7375,107.9393182,7.106818182,5.265262469,59391.55513,58.93387918
26.95340909,72.16590909,79.11295455,2.01219697,12.22916667,85.09204545,5.735,6.190686686,67041.45773,55.08018166
30.99431818,72.78106061,80.04295455,1.714772727,12.19583333,95.65613636,7.185909091,5.899762949,69408.86408,47.48517715
33.27462121,78.09772727,75.25204545,4.22219697,10.3625,113.6511364,5.953181818,2.082963123,67182.79542,153.8576147
27.98219697,74.96924242,80.78977273,1.829015152,12.24583333,88.00340909,8.167727273,5.538161397,75115.37341,104.4949771
27.92386364,76.56863636,81.40977273,1.968863636,10.7375,89.63931818,4.813181818,1.860215968,69179.19033,171.193177
29.41401515,74.98681818,74.78704545,1.736439394,15.9625,97.9575,6.577727273,2.608748977,54904.0834,125.7159177
27.02234848,70.52257576,85.05931818,3.113257576,10.10416667,108.9375,6.866818182,2.463623998,64444.37763,174.1016312
26.85265152,72.42075758,81.12795455,3.753409091,13.49583333,89.99977273,5.917727273,3.646479293,67483.13802,87.45331897
29.74810606,71.88469697,85.07340909,3.231439394,13.4875,106.4697727,7.706818182,4.808241708,57377.49302,71.34785738
26.80492424,70.12712121,78.85931818,4.11780303,8.145833333,96.23840909,7.505,5.007011669,62394.9811,76.72528431
30.79280303,74.43318182,79.90204545,2.219015152,7.5125,108.9929545,6.103181818,5.019689997,61652.95821,68.65279307
29.24962121,71.16409091,83.57977273,1.9925,9.879166667,108.2997727,6.356818182,5.584016482,72359.28841,63.33322884
33.25871212,74.4419697,79.71886364,3.351590909,15.94583333,97.18113636,6.051363636,5.935550479,60734.26321,39.70968622
28.13598485,76.22590909,80.56431818,2.551893939,10.0875,82.34704545,5.312272727,5.688026277,71458.26062,55.04841893
31.10568182,71.36621212,83.34022727,3.625378788,16.84583333,107.7729545,8.025909091,2.154579639,73613.66043,143.0465376
27.31401515,75.94469697,82.81886364,2.715378788,17.02916667,98.65068182,6.193181818,3.505355614,67412.46917,98.03997226
27.89204545,76.12045455,86.51068182,3.96219697,15.6875,88.72431818,7.720454545,3.970596195,58667.19946,77.79420147
29.0905303,70.61924242,77.05568182,3.784924242,14.1375,105.1111364,7.224090909,5.8522092,54921.75061,57.77480493
26.86856061,80.62863636,82.73431818,3.392954545,14.8875,82.79068182,7.401363636,3.560492281,57200.8209,91.69792853
29.55189394,73.2819697,78.40840909,2.896590909,11.64583333,105.3329545,7.963181818,5.22013476,66811.78398,67.98326309
29.32386364,76.23469697,76.06931818,1.765984848,18.37083333,81.82022727,5.999545455,5.816134464,71157.91802,49.79521248
29.20189394,77.74621212,76.81613636,2.242651515,15.72916667,108.1611364,4.916818182,3.605276664,58260.85359,87.8165845
30.11931818,74.42439394,74.92795455,3.156590909,13.00416667,105.8875,7.355,1.813733524,57253.82254,191.6717075
32.73371212,76.885,86.05977273,2.138257576,7.9875,90.49886364,5.285,6.205076201,75963.39956,49.95567977
28.19431818,80.30348485,74.25159091,4.214318182,10.64583333,101.1738636,5.186818182,4.715234843,56688.47177,83.60280877
32.43143939,79.58287879,78.84522727,3.349621212,16.47083333,91.19204545,7.592272727,2.819406081,73224.98177,90.79844594
29.71098485,73.58954545,74.91386364,4.243863636,11.77083333,114.3997727,4.783181818,5.429828059,62377.31388,71.74090746
27.8655303,70.9180303,77.61931818,4.062651515,15.04583333,86.78340909,7.125909091,3.568228964,59214.88302,80.1372672
27.9875,75.07469697,84.70704545,2.386439394,12.50416667,113.4570455,7.431363636,2.537915484,61582.28936,217.3508207
26.54507576,70.89166667,80.55022727,1.726590909,7.9625,86.39522727,8.244090909,6.006668699,58437.52571,67.02231784
27.36174242,70.57530303,82.94568182,2.205227273,14.65416667,87.42113636,7.194090909,4.830756541,60098.24359,90.89169291
32.36780303,77.24530303,76.32295455,2.098863636,8.670833333,99.92613636,5.347727273,5.848551348,55540.10302,51.84025255
26.96931818,71.70893939,85.35522727,3.680530303,10.12916667,83.12340909,6.174090909,2.085501862,69832.87716,153.0088745
32.75492424,71.31348485,83.41068182,3.836136364,7.904166667,100.9520455,5.928636364,2.775038205,59232.55023,141.0677865
27.40416667,79.22257576,79.98659091,2.534166667,14.84583333,101.2293182,6.695,4.316237096,71846.93927,87.0356859
32.30416667,72.73712121,78.32386364,2.047651515,13.02083333,106.6361364,7.240454545,4.32895553,67500.80523,71.5628596
28.06704545,77.60560606,86.58113636,2.453409091,17.65416667,107.7452273,5.301363636,1.642426841,65062.73004,194.245879
29.90719697,80.37378788,85.52431818,1.756136364,14.69583333,97.20886364,4.826818182,3.646514467,72482.95889,79.44331023
28.98977273,70.56651515,81.84659091,2.177651515,12.44583333,80.60022727,5.497727273,2.555051488,63013.3335,134.7025318
33.21098485,77.81651515,87.29977273,3.830227273,9.579166667,90.74840909,4.715,2.243245717,58578.8634,124.1875612
29.23371212,79.38954545,74.3925,2.811893939,10.67916667,112.5420455,5.958636364,4.925285441,75928.06514,95.39942462
33.08901515,69.56469697,69.93977273,3.31219697,13.27083333,94.38068182,8.208636364,5.000696778,72659.631,53.34731438
33.11022727,75.66348485,82.98795455,3.048257576,9.420833333,81.90340909,7.995909091,1.889959757,60539.92388,167.4616278
26.52386364,74.83742424,70.79931818,4.216287879,13.12916667,86.50613636,5.118636364,3.688960003,71670.26716,87.9125887
27.36704545,76.58621212,69.79886364,3.01280303,14.7875,95.04613636,7.955,3.489084586,55328.09648,122.206648
30.54356061,71.75287879,74.68840909,2.496742424,13.82916667,109.1315909,6.561363636,5.744593833,53879.38513,55.98147667
30.73977273,77.465,81.97340909,1.730530303,12.6625,103.5306818,7.044090909,5.435996699,67324.13312,59.79673825
28.12537879,76.91136364,80.40931818,2.197348485,11.69583333,113.4293182,5.814090909,2.846802899,54974.75225,129.7852868
27.67992424,78.97651515,83.08659091,4.176893939,18.17083333,99.75977273,5.249545455,4.614543817,58949.87484,79.63403877
26.94280303,70.74227273,87.77886364,3.960227273,7.5375,101.9225,7.578636364,5.828249475,73401.65389,68.04463839
32.70189394,69.64378788,82.38204545,2.941893939,17.9875,84.06613636,5.380454545,1.740062281,75539.38649,123.1264628
30.14583333,75.725,85.41159091,1.872348485,17.3375,97.70795455,5.167727273,3.668967348,56882.81109,73.66442338
31.83219697,69.5119697,76.64704545,3.509166667,18.4125,93.49340909,6.305,2.882644628,56741.4734,87.67518505
28.08295455,76.79712121,82.43840909,2.439621212,10.60416667,109.9079545,7.281363636,2.563887592,62748.32533,198.6746978
30.49583333,77.21893939,86.90522727,3.786893939,17.0375,104.0020455,4.944090909,2.653922298,56229.12427,105.7880293
29.51477273,69.32742424,77.47840909,2.132348485,15.00416667,91.16431818,6.307727273,1.799871952,69479.53293,149.6818303
30.84583333,70.26772727,72.03931818,2.614924242,13.02916667,85.78522727,5.350454545,6.071310794,54550.73917,44.45755432
28.85189394,69.72287879,78.19704545,3.408712121,8.454166667,97.31977273,5.811363636,3.911165668,70009.54927,92.62088644
31.32840909,80.64621212,80.98704545,2.323409091,13.8375,98.67840909,7.845909091,1.87969014,66493.77417,166.5090246
